contig_id	score	length
k141_169270_length_2185_cov_32.0000	0.867	2185
k141_169315_length_5552_cov_19.0000	0.873	4949
k141_169367_length_2368_cov_246.0000	0.893	2158
k141_169371_length_1097_cov_5.8640	nan	1097
k141_169593_length_1971_cov_144.1781	0.993	1969
k141_169623_length_4239_cov_135.7106	0.593	4172
k141_16974_length_2444_cov_8.0000	1	2427
k141_169923_length_18882_cov_18.2416	0.967	18879
k141_170304_length_4284_cov_146.5600	0.6	4216
k141_170333_length_2235_cov_156.0664	0.94	1876
k141_170736_length_1935_cov_16.0000	0.987	1934
k141_171039_length_3931_cov_21.0000	0.72	3736
k141_171138_length_1234_cov_6.0000	0.713	1207
k141_171139_length_1424_cov_7.0000	0.56	1423
k141_171155_length_1143_cov_59.3323	0.853	1000
k141_171530_length_3061_cov_25.0000	0.567	2790
k141_171762_length_1460_cov_24.1448	0.82	1380
k141_171896_length_1240_cov_11.0000	0.927	1238
k141_172007_length_3468_cov_21.0000	0.953	1606
k141_172223_length_24486_cov_56.0000	1	24484
k141_17231_length_1425_cov_8.0000	0.987	1141
k141_172676_length_3243_cov_388.0000	0.993	3240
k141_173008_length_1452_cov_11.0000	0.833	1450
k141_173010_length_1977_cov_10.0000	0.993	1976
k141_173289_length_2931_cov_30.0000	0.793	1274
k141_173297_length_1137_cov_17.0000	1	1135
k141_173342_length_2606_cov_26.4288	0.693	2605
k141_173375_length_3581_cov_10.0000	0.773	3580
k141_173471_length_4998_cov_85.2901	0.593	4996
k141_173511_length_1135_cov_14.0000	nan	1135
k141_173515_length_1011_cov_78.5402	0.84	1009
k141_173650_length_1225_cov_28.7472	0.987	932
k141_173793_length_2419_cov_94.0694	0.947	2419
k141_173795_length_2954_cov_20.0000	0.733	2953
k141_174077_length_1360_cov_8.0000	0.973	1160
k141_174313_length_17731_cov_18.0000	0.607	17727
k141_174382_length_1710_cov_10.0000	0.98	1710
k141_174496_length_2075_cov_15.0000	0.66	1634
k141_174609_length_2019_cov_100.7018	0.773	1988
k141_174671_length_5931_cov_125.7164	0.613	5758
k141_174764_length_2095_cov_8.0000	0.947	1982
k141_175218_length_1337_cov_16.0000	1	1320
k141_175263_length_1182_cov_11.0000	nan	1182
k141_175266_length_2095_cov_26.0000	1	1950
k141_175342_length_1195_cov_17.0000	0.993	1053
k141_175372_length_2398_cov_7.0000	0.533	2101
k141_175429_length_1259_cov_12.0000	0.973	1258
k141_175493_length_3539_cov_12.0000	0.9	3395
k141_175605_length_2956_cov_10.0000	0.68	2015
k141_175641_length_1846_cov_30.0106	0.667	1842
k141_175901_length_1050_cov_6.0000	0.94	873
k141_175977_length_2099_cov_346.3110	1	2096
k141_176312_length_1085_cov_10.0000	0.947	627
k141_176599_length_13613_cov_42.9998	1	13609
k141_177001_length_1836_cov_76.0000	0.88	1077
k141_177102_length_1414_cov_10.0000	0.873	1350
k141_177214_length_1010_cov_65.2900	0.987	955
k141_177233_length_1988_cov_30.8787	0.887	1985
k141_177310_length_1235_cov_16.0000	0.873	1223
k141_17733_length_2205_cov_31.0000	0.96	2204
k141_177391_length_3271_cov_199.0000	0.987	2942
k141_177558_length_3852_cov_113.3859	0.667	3622
k141_17757_length_1026_cov_13.0000	0.987	958
k141_177681_length_3965_cov_21.0000	1	3884
k141_178075_length_2836_cov_137.6601	0.767	2572
k141_178143_length_1950_cov_16.0000	0.973	1745
k141_178293_length_1063_cov_9.0000	1	861
k141_178324_length_3783_cov_34.0000	0.8	3325
k141_178326_length_2504_cov_113.4769	nan	2504
k141_178648_length_1240_cov_8.4404	0.507	977
k141_178762_length_1606_cov_28.0000	0.98	1605
k141_178861_length_5330_cov_7.0000	0.853	5328
k141_17892_length_2663_cov_8.0000	0.573	2533
k141_179241_length_1327_cov_9.0000	0.987	1324
k141_179256_length_2203_cov_51.7774	0.893	2142
k141_179323_length_2125_cov_21.0000	1	1919
k141_179358_length_3472_cov_20.0000	0.753	3328
k141_179983_length_1872_cov_75.1854	0.8	1575
k141_180007_length_1080_cov_10.0000	0.987	961
k141_180094_length_2904_cov_30.0702	0.873	2904
k141_180166_length_1904_cov_538.1129	0.86	1903
k141_180203_length_2011_cov_18.0000	0.667	2008
k141_180238_length_3805_cov_51.2961	0.8	3802
k141_180357_length_3747_cov_22.0000	0.907	2468
k141_180384_length_4569_cov_297.3126	0.5	4010
k141_180403_length_4189_cov_13.0000	1	4186
k141_18045_length_1678_cov_6.0000	0.967	1628
k141_180801_length_1208_cov_13.0000	0.967	1161
k141_181229_length_1607_cov_4.0000	0.973	1604
k141_181265_length_1815_cov_6.0000	0.72	1700
k141_181442_length_7140_cov_183.4212	0.887	7139
k141_181510_length_2398_cov_24.5702	0.98	2292
k141_181576_length_1288_cov_37.5571	0.92	1232
k141_181741_length_25126_cov_68.0329	1	24840
k141_181743_length_2546_cov_18.0225	0.9	2544
k141_181880_length_1786_cov_9.0000	0.927	1758
k141_18191_length_2427_cov_8.0000	nan	2427
k141_18193_length_3554_cov_133.7905	0.773	3553
k141_182423_length_3650_cov_14.0000	0.967	2996
k141_182510_length_1134_cov_144.1420	0.967	406
k141_182675_length_7022_cov_87.7521	0.667	6905
k141_182740_length_2228_cov_20.0000	0.707	2226
k141_182764_length_6815_cov_93.3728	0.587	6562
k141_182786_length_1783_cov_7.0000	0.973	1699
k141_182863_length_1512_cov_5.0000	1	1510
k141_182937_length_1770_cov_83.3499	0.973	1766
k141_182945_length_6449_cov_83.5980	0.987	6448
k141_182995_length_1080_cov_99.6230	nan	1080
k141_18328_length_2826_cov_9.0000	1	2824
k141_183298_length_1099_cov_14.0000	nan	1099
k141_183372_length_1025_cov_4.0000	0.973	897
k141_183918_length_4923_cov_71.8998	0.747	4549
k141_183984_length_1268_cov_46.0657	1	783
k141_184122_length_1660_cov_10.0000	0.94	1659
k141_184124_length_13824_cov_31.6856	0.813	12988
k141_184242_length_2163_cov_13.0000	0.5	2077
k141_184285_length_1978_cov_51.0000	0.833	1975
k141_184321_length_4528_cov_30.4267	0.807	4526
k141_184521_length_1200_cov_111.8650	nan	1200
k141_184533_length_2100_cov_16.0000	0.587	2098
k141_184608_length_5006_cov_16.0000	0.58	5005
k141_18462_length_3885_cov_18.0000	0.647	3884
k141_184657_length_5480_cov_12.0000	0.567	5477
k141_184795_length_5513_cov_24.0000	0.94	5252
k141_184802_length_3330_cov_36.4343	0.9	3329
k141_184828_length_6625_cov_89.1936	0.833	6624
k141_184910_length_29271_cov_11.0000	0.967	29172
k141_18501_length_3832_cov_4958.0000	0.847	3655
k141_185078_length_8325_cov_67.0000	0.847	7637
k141_185179_length_2143_cov_22.0000	0.673	2142
k141_185657_length_4147_cov_37.0170	0.833	3774
k141_185677_length_2547_cov_23.7319	0.833	2509
k141_185846_length_1989_cov_40.0000	0.673	1856
k141_186026_length_2483_cov_13.0000	0.527	2483
k141_186134_length_1157_cov_20.0000	0.84	1072
k141_186189_length_4074_cov_18.0000	1	4071
k141_186538_length_4494_cov_34.0000	0.82	4492
k141_186916_length_6884_cov_53.1953	0.953	6785
k141_187097_length_2784_cov_58.5059	0.927	2179
k141_187197_length_1658_cov_51.5709	0.727	1585
k141_187215_length_1900_cov_9.0000	0.86	1834
k141_18722_length_8845_cov_77.4566	1	8759
k141_187236_length_2367_cov_9.0000	0.947	2312
k141_18749_length_1199_cov_54.6144	1	1100
k141_187827_length_1234_cov_34.0000	1	1230
k141_187851_length_2225_cov_11.0000	0.8	2221
k141_187877_length_4165_cov_84.0000	0.707	2868
k141_187924_length_1878_cov_6.0000	0.853	1874
k141_187985_length_2695_cov_11.0000	0.993	2693
k141_18846_length_1510_cov_66.9883	0.893	1507
k141_188555_length_4171_cov_12.0000	0.513	4105
k141_188567_length_1516_cov_7.0000	0.993	1514
k141_188619_length_2797_cov_86.9371	0.687	2686
k141_188625_length_1567_cov_4.0000	0.78	1531
k141_188757_length_2614_cov_12.0000	0.66	2614
k141_188761_length_1299_cov_10.0000	nan	1299
k141_188901_length_4906_cov_75.4726	1	4904
k141_188966_length_4411_cov_19.2375	0.813	2422
k141_18897_length_1374_cov_7.0000	0.947	1337
k141_189036_length_6320_cov_29.0000	0.647	5625
k141_189231_length_1357_cov_33.0000	0.993	1259
k141_189596_length_3983_cov_59.3077	0.993	3980
k141_189702_length_2760_cov_11.0000	0.98	2671
k141_190005_length_1841_cov_55.0000	0.78	1839
k141_190122_length_3178_cov_36.1176	0.513	3174
k141_190152_length_2234_cov_35.6230	0.913	2232
k141_1902_length_2780_cov_32.0000	0.987	2780
k141_190229_length_1049_cov_7.0000	0.947	1049
k141_190266_length_3070_cov_9.0000	1	3069
k141_190687_length_4097_cov_104.1459	1	4095
k141_190982_length_4068_cov_30.0000	0.94	3755
k141_191066_length_1460_cov_13.0000	0.973	1458
k141_191373_length_1405_cov_29.7706	0.987	1403
k141_191499_length_2960_cov_4.0000	0.873	2566
k141_191825_length_1228_cov_50.5925	0.82	1226
k141_192131_length_3607_cov_21.0000	0.84	2432
k141_192158_length_2809_cov_23.3388	0.947	2770
k141_192428_length_1068_cov_16.0000	0.96	1065
k141_19279_length_2376_cov_10.0000	nan	2376
k141_192850_length_15732_cov_14.9991	1	15731
k141_192895_length_1106_cov_14.0000	0.88	1105
k141_193187_length_2070_cov_13.0000	1	2033
k141_193206_length_1271_cov_5.0000	nan	1271
k141_19370_length_5112_cov_9.0000	0.98	5109
k141_193701_length_1608_cov_15.0000	0.753	1604
k141_193772_length_2058_cov_6.0000	0.947	2036
k141_193833_length_2307_cov_100.1062	1	2262
k141_193837_length_1314_cov_21.0000	0.973	1314
k141_193934_length_1281_cov_13.5754	0.813	1182
k141_194015_length_10116_cov_26.6366	0.733	10056
k141_194073_length_2232_cov_14.0000	0.947	2230
k141_19419_length_2004_cov_10.0000	1	2003
k141_194194_length_1655_cov_14.0000	0.987	1653
k141_194542_length_1581_cov_18.0000	0.967	1480
k141_194705_length_1386_cov_48.9558	0.98	1382
k141_194707_length_1176_cov_8.0000	nan	1176
k141_194911_length_1118_cov_12.7544	0.553	1076
k141_194913_length_2678_cov_25.2988	0.913	2676
k141_195057_length_1130_cov_895.2710	1	801
k141_195380_length_8106_cov_137.1869	0.54	7361
k141_195414_length_1061_cov_25.0000	0.98	1033
k141_19551_length_1661_cov_9.0000	0.64	1412
k141_195557_length_3111_cov_23.0000	0.913	3109
k141_195616_length_1386_cov_6.0000	0.513	1385
k141_195626_length_1339_cov_13.0000	0.993	1338
k141_195671_length_2956_cov_27.1769	0.567	2288
k141_195688_length_2700_cov_22.0000	0.913	2666
k141_195886_length_1582_cov_68.1353	0.613	1578
k141_19596_length_1569_cov_4.0000	0.92	1566
k141_196222_length_2365_cov_14.0000	0.953	2362
k141_196449_length_1895_cov_13.0000	0.987	1787
k141_196642_length_1192_cov_14.0000	0.993	1189
k141_196789_length_3767_cov_108.1795	0.76	3765
k141_196876_length_1145_cov_150.6982	1	1144
k141_19688_length_1605_cov_24.0000	1	1528
k141_196898_length_2177_cov_32.0000	0.933	2176
k141_196962_length_4428_cov_14.0000	0.813	4424
k141_197044_length_102727_cov_26.7156	0.513	102078
k141_197077_length_23645_cov_22.0000	1	23570
k141_197150_length_1008_cov_21.0000	0.86	1006
k141_197303_length_1544_cov_16.0000	1	1322
k141_197457_length_2684_cov_27.8620	0.873	2683
k141_197490_length_4185_cov_84.5566	0.76	4183
k141_197636_length_1350_cov_7.0000	0.92	1156
k141_197694_length_2334_cov_10.0000	0.867	2331
k141_197729_length_2873_cov_10.0000	0.973	2563
k141_198026_length_1893_cov_18.0000	1	1890
k141_198143_length_6519_cov_381.3104	0.76	6490
k141_198185_length_3282_cov_17.0000	0.873	3281
k141_198481_length_1038_cov_5.0000	0.96	1021
k141_198557_length_2851_cov_20.0000	0.853	2644
k141_198565_length_2302_cov_14.0000	0.98	2104
k141_198572_length_1106_cov_14.0000	0.56	987
k141_198760_length_1327_cov_15.0000	0.987	1325
k141_198878_length_1893_cov_15.0000	nan	1893
k141_198935_length_2701_cov_10.0000	0.94	2638
k141_199059_length_1271_cov_8.0000	0.96	1206
k141_19918_length_1428_cov_53.6364	0.96	1424
k141_199296_length_2374_cov_39.0000	0.507	2373
k141_199329_length_3053_cov_11.0000	1	3051
k141_199358_length_2374_cov_15.0000	0.753	2132
k141_199652_length_1732_cov_10.0000	0.907	1730
k141_199936_length_1405_cov_5.0000	0.98	1062
k141_20001_length_1482_cov_29.0000	0.967	1480
k141_200231_length_1350_cov_84.9876	0.853	1349
k141_200373_length_4243_cov_17.0000	0.693	4239
k141_200531_length_8572_cov_104.3926	0.873	7638
k141_200571_length_4116_cov_59.1849	1	4098
k141_200879_length_1608_cov_21.4417	0.913	1606
k141_2011_length_4137_cov_56.2412	0.927	4135
k141_201110_length_1470_cov_6.0000	nan	1470
k141_201111_length_2819_cov_16.0000	0.827	2817
k141_201214_length_6867_cov_17.6167	0.773	6582
k141_201515_length_2069_cov_285.0000	0.893	1895
k141_20164_length_1993_cov_29.4222	0.727	1723
k141_201927_length_2765_cov_9.0000	0.74	2690
k141_202042_length_1365_cov_20.0000	0.913	1363
k141_202121_length_7907_cov_23.0657	0.793	7447
k141_202128_length_3277_cov_65.0360	0.947	3275
k141_202177_length_3545_cov_61.2814	0.847	3543
k141_202310_length_5808_cov_1268.1803	0.967	5806
k141_202336_length_9140_cov_213.4622	0.947	8972
k141_202510_length_1988_cov_16.0000	0.973	1888
k141_202707_length_4641_cov_14.0000	0.993	4519
k141_202904_length_2100_cov_20.1103	0.9	1731
k141_203208_length_1911_cov_1090.4452	0.927	1858
k141_203587_length_1413_cov_14.0000	0.673	1410
k141_203771_length_6133_cov_305.8129	0.567	6131
k141_203778_length_64248_cov_37.1169	0.993	64222
k141_203992_length_1500_cov_145.0000	1	1187
k141_204076_length_1152_cov_6.0000	1	1149
k141_204283_length_2054_cov_29.7522	0.98	2052
k141_204289_length_8641_cov_12.0000	1	8537
k141_204320_length_1268_cov_6.0000	0.98	1264
k141_20433_length_1649_cov_9.0000	1	1627
k141_204408_length_7152_cov_31.1242	0.5	5791
k141_205123_length_1084_cov_19.0000	nan	1084
k141_205130_length_2147_cov_83.0000	1	2145
k141_205205_length_1704_cov_25.4734	0.713	1396
k141_20527_length_1401_cov_16.0000	0.907	1371
k141_205377_length_2526_cov_29.0000	1	2397
k141_205650_length_1183_cov_4.0000	0.967	1183
k141_205805_length_1114_cov_16.0000	0.893	1114
k141_20600_length_2652_cov_131.3955	0.94	2082
k141_206044_length_3112_cov_8.0000	0.853	3110
k141_206055_length_1722_cov_84.7211	0.847	1722
k141_206380_length_4797_cov_17.5088	0.993	4653
k141_206437_length_3081_cov_20.3041	0.86	2616
k141_20649_length_10346_cov_20.0000	0.667	10327
k141_2065_length_1805_cov_90.3047	0.773	1540
k141_206540_length_2573_cov_29.0000	0.713	2466
k141_206845_length_1521_cov_19.4638	0.96	1517
k141_206936_length_10066_cov_8.0000	0.773	9919
k141_206988_length_13582_cov_25.0000	0.6	12838
k141_207002_length_1432_cov_230.8521	0.687	1377
k141_207202_length_1853_cov_7.0000	1	1851
k141_207245_length_1067_cov_13.0000	0.887	749
k141_20728_length_1052_cov_7.0000	0.993	1051
k141_207282_length_1095_cov_13.0000	0.847	908
k141_207752_length_12049_cov_31.2338	0.827	11115
k141_207756_length_2266_cov_23.8748	0.7	2265
k141_207823_length_2993_cov_36.1448	0.92	2629
k141_207854_length_3382_cov_6.0000	0.607	2512
k141_207998_length_4858_cov_120.2586	0.713	4731
k141_208321_length_2484_cov_11.0000	0.927	2214
k141_208895_length_1182_cov_25.0000	0.827	1169
k141_208896_length_1425_cov_379.0140	0.74	1423
k141_208948_length_1237_cov_6.0000	0.913	1235
k141_20896_length_3567_cov_31.0000	0.9	3567
k141_208995_length_2297_cov_55.0867	0.98	2294
k141_20907_length_1076_cov_20.0000	0.533	1060
k141_209169_length_2890_cov_28.0000	0.673	2710
k141_209180_length_3667_cov_30.0000	0.933	3664
k141_209475_length_1668_cov_32.4224	0.84	1543
k141_209533_length_1607_cov_11.0000	1	1605
k141_209556_length_19712_cov_49.1941	1	19012
k141_209673_length_1029_cov_5.0000	nan	1029
k141_209695_length_1521_cov_19.0000	nan	1521
k141_20985_length_4489_cov_13.0000	0.773	4487
k141_20989_length_2867_cov_17.0000	0.807	2836
k141_210098_length_1504_cov_18.0000	0.947	1502
k141_210588_length_24463_cov_20.2876	0.98	24459
k141_210667_length_4630_cov_70.1123	0.987	4629
k141_210818_length_1677_cov_5.0000	0.973	1613
k141_210968_length_1213_cov_29.0746	0.993	1106
k141_210977_length_1518_cov_42.0000	0.987	1516
k141_211134_length_17050_cov_22.0000	0.673	16647
k141_211349_length_2177_cov_10.0000	0.98	2173
k141_21137_length_1338_cov_48.0000	1	1120
k141_211467_length_1084_cov_8.0000	nan	1084
k141_211561_length_1885_cov_14.0000	nan	1885
k141_211670_length_5773_cov_11.0000	0.927	5226
k141_211711_length_2218_cov_11.0000	nan	2218
k141_211789_length_2725_cov_9.0000	0.907	2723
k141_212004_length_3478_cov_29.0000	0.573	3110
k141_212382_length_3418_cov_19.0000	0.833	3417
k141_212507_length_1758_cov_26.2993	0.94	1414
k141_212514_length_8987_cov_13.0000	0.947	8985
k141_21253_length_1155_cov_9.0000	0.947	1133
k141_212575_length_1013_cov_9.0000	0.973	947
k141_21258_length_1345_cov_9.0000	nan	1345
k141_212808_length_2257_cov_28.0000	0.88	2207
k141_213531_length_2004_cov_43.8889	0.92	1615
k141_213633_length_2311_cov_6.0000	1	2309
k141_214201_length_5567_cov_25.0000	0.84	5217
k141_214842_length_1703_cov_159.0000	0.993	1700
k141_214857_length_1668_cov_10.0000	0.727	1668
k141_215060_length_1179_cov_6.0000	0.98	1170
k141_215136_length_13867_cov_73.9850	0.987	13866
k141_215211_length_1344_cov_12.1521	0.653	1340
k141_215282_length_2138_cov_17.0000	0.96	1788
k141_215412_length_2197_cov_14.0000	0.773	1896
k141_215537_length_2441_cov_9.0000	0.953	2388
k141_21594_length_2101_cov_26.1464	0.873	2076
k141_216070_length_1551_cov_187.5035	0.927	1549
k141_216262_length_3031_cov_15.0000	0.867	3029
k141_216266_length_1917_cov_17.0000	1	1853
k141_216267_length_1525_cov_15.0000	0.5	1106
k141_216878_length_10581_cov_110.7513	0.8	10482
k141_217350_length_8650_cov_65.0000	0.827	8334
k141_21752_length_29629_cov_56.9744	0.933	29166
k141_217585_length_1225_cov_98.1559	nan	1225
k141_217653_length_1534_cov_26.0000	0.94	1448
k141_217692_length_1179_cov_36.2890	nan	1179
k141_217766_length_3924_cov_51.7402	0.98	3921
k141_218025_length_1077_cov_6.0000	0.993	976
k141_218126_length_6607_cov_12.0000	0.987	6572
k141_218464_length_1009_cov_10.0000	0.507	1008
k141_218504_length_1287_cov_21.0000	0.98	1266
k141_218704_length_1929_cov_236.2768	0.993	1928
k141_218940_length_2467_cov_9.0000	0.987	2466
k141_219016_length_1072_cov_82.8958	nan	1072
k141_219077_length_7358_cov_22.0000	0.767	7310
k141_21919_length_2721_cov_671.6279	1	2034
k141_219235_length_11451_cov_28.3228	0.507	10065
k141_219357_length_2681_cov_16.0000	0.993	1624
k141_219606_length_1717_cov_6.0000	0.967	1715
k141_219842_length_2413_cov_21.0000	0.78	2411
k141_219851_length_1804_cov_19.0000	0.627	1796
k141_219893_length_2092_cov_13.0000	0.993	2090
k141_21997_length_2655_cov_14.0000	1	2655
k141_220051_length_1239_cov_44.0000	0.927	945
k141_220069_length_2802_cov_7.0000	0.76	2800
k141_220123_length_1186_cov_7.0000	0.993	1184
k141_2203_length_1034_cov_5.0000	0.58	526
k141_220389_length_4678_cov_11.0000	0.913	4371
k141_220391_length_1037_cov_26.0000	0.74	1036
k141_220741_length_3186_cov_18.0000	0.927	3184
k141_220814_length_2531_cov_330.4059	0.887	2188
k141_22087_length_1853_cov_107.3773	0.973	1851
k141_220875_length_1271_cov_9.0000	0.793	918
k141_221813_length_6528_cov_48.0000	0.86	5788
k141_22192_length_2674_cov_58.7288	0.94	2329
k141_221979_length_1424_cov_17.0000	0.993	1422
k141_222039_length_5712_cov_31.1298	1	5709
k141_222341_length_2508_cov_12.0000	0.78	2507
k141_222399_length_2497_cov_113.0798	nan	2497
k141_222423_length_1191_cov_25.0857	0.993	1045
k141_222622_length_14086_cov_80.8504	0.993	14082
k141_223234_length_1574_cov_28.0000	nan	1574
k141_223241_length_4432_cov_22.2757	0.96	4428
k141_223242_length_4882_cov_28.0000	0.767	4767
k141_223324_length_2153_cov_21.0000	0.947	2151
k141_223346_length_1022_cov_10.0000	nan	1022
k141_223362_length_7269_cov_11.0000	0.68	7129
k141_223516_length_2594_cov_757.3221	0.973	1214
k141_223532_length_1793_cov_48.6283	0.84	1790
k141_223534_length_1185_cov_11.0000	nan	1185
k141_22357_length_1462_cov_9.0000	0.987	1271
k141_22362_length_2115_cov_56.3186	1	2065
k141_223762_length_1700_cov_6.0000	nan	1700
k141_224099_length_3533_cov_12.0000	0.74	3532
k141_224235_length_2169_cov_11.0000	nan	2169
k141_224277_length_1822_cov_15.0000	0.993	1821
k141_224344_length_6096_cov_21.1748	0.593	6095
k141_224388_length_1173_cov_19.0000	0.793	1121
k141_22440_length_1089_cov_16.0000	1	930
k141_224537_length_1125_cov_5.0000	0.56	1062
k141_224806_length_1378_cov_11.0000	0.92	1131
k141_22501_length_7827_cov_76.8323	1	7775
k141_22504_length_1182_cov_11.0000	nan	1182
k141_225241_length_1170_cov_22.0000	0.853	1169
k141_225415_length_1350_cov_10.0000	0.94	1337
k141_225557_length_1140_cov_40.0000	0.913	869
k141_22569_length_1621_cov_12.0000	0.973	1561
k141_22591_length_8821_cov_72.2494	0.6	7850
k141_225956_length_1476_cov_8.0000	0.98	1442
k141_225959_length_1112_cov_20.0000	0.8	985
k141_226084_length_2079_cov_41.0000	0.967	2011
k141_226159_length_10243_cov_59.3603	0.74	9565
k141_226455_length_10978_cov_78.5393	0.713	10976
k141_226465_length_1981_cov_90.3842	0.967	1980
k141_226477_length_2544_cov_64.3379	0.513	2540
k141_226714_length_1178_cov_15.0000	0.813	906
k141_226742_length_2066_cov_50.2286	0.913	1873
k141_22676_length_2138_cov_10.0000	nan	2138
k141_226830_length_3620_cov_44.0149	0.973	3618
k141_226910_length_3832_cov_86.4094	0.82	3727
k141_226991_length_1092_cov_4.0000	nan	1092
k141_227053_length_1369_cov_7.0000	0.96	1181
k141_227162_length_1214_cov_11.0000	0.967	1181
k141_22726_length_2523_cov_130.8589	0.933	2491
k141_227337_length_3707_cov_9.0000	0.833	3264
k141_227528_length_2629_cov_8.0000	0.993	2626
k141_227791_length_2218_cov_146.2557	0.9	2057
k141_227815_length_1037_cov_8.0000	nan	1037
k141_228023_length_1528_cov_16.0000	0.513	1495
k141_228663_length_1019_cov_31.4784	0.647	1018
k141_228906_length_2002_cov_8.0000	0.993	1999
k141_229050_length_3953_cov_417.6569	0.813	3488
k141_229256_length_6217_cov_36.0000	0.967	6213
k141_229371_length_2601_cov_27.9451	0.807	2478
k141_229505_length_1315_cov_23.0000	0.98	1313
k141_229523_length_1775_cov_14.0000	0.807	1772
k141_229525_length_1531_cov_6.0000	0.947	1529
k141_22958_length_1788_cov_115.7596	0.987	1364
k141_22967_length_2272_cov_219.8602	nan	2272
k141_229829_length_3287_cov_10.0000	0.58	2845
k141_229864_length_1887_cov_55.0000	0.92	1866
k141_229897_length_4165_cov_23.0522	0.96	3807
k141_229973_length_1278_cov_14.0000	0.927	1276
k141_230034_length_2192_cov_19.0000	0.987	1910
k141_230043_length_1718_cov_18.0000	0.993	1596
k141_230286_length_1044_cov_9.0000	nan	1044
k141_230294_length_4518_cov_27.3786	0.727	2887
k141_230422_length_4400_cov_97.7384	0.953	4019
k141_230526_length_13794_cov_35.8540	0.987	13596
k141_230588_length_2972_cov_27.7549	0.62	2972
k141_230682_length_2203_cov_10.0000	0.527	2201
k141_231026_length_1494_cov_7.0015	0.92	1443
k141_231165_length_1519_cov_61.0080	0.993	1519
k141_231222_length_1229_cov_11.0000	0.76	1141
k141_231783_length_6237_cov_10.0000	0.987	6233
k141_231932_length_3383_cov_240.7270	0.98	3171
k141_23216_length_3219_cov_54.4113	0.707	3216
k141_232408_length_1099_cov_10.0000	1	1025
k141_232415_length_1347_cov_17.0000	0.933	1343
k141_2327_length_1798_cov_10.0000	0.82	1648
k141_232946_length_1021_cov_15.0000	0.92	911
k141_232981_length_1761_cov_32.0000	1	1750
k141_233211_length_8118_cov_36.8338	0.587	7915
k141_233245_length_3302_cov_11.5163	0.58	3233
k141_233271_length_1004_cov_20.0000	0.707	985
k141_2336_length_21366_cov_23.0000	1	21228
k141_233632_length_7842_cov_101.6049	0.647	6457
k141_233839_length_5761_cov_113.5641	0.593	5291
k141_234037_length_7631_cov_123.9904	0.707	7442
k141_234085_length_10420_cov_8.0000	0.973	10352
k141_234307_length_1884_cov_24.0000	1	1880
k141_234428_length_1917_cov_10.0000	0.907	1760
k141_234572_length_6174_cov_13.0000	0.887	6171
k141_23479_length_1069_cov_20.0000	0.513	745
k141_235116_length_1410_cov_8.0000	0.993	1410
k141_235168_length_2001_cov_45.0000	0.547	2001
k141_235295_length_7618_cov_22.0000	0.627	7559
k141_235531_length_1147_cov_10.0000	nan	1147
k141_235637_length_2457_cov_24.0000	0.993	2454
k141_235957_length_1811_cov_14.0000	0.707	1811
k141_235992_length_2420_cov_37.0000	0.82	2420
k141_236411_length_3884_cov_16.0000	0.513	3882
k141_23664_length_2115_cov_534.0111	0.547	2055
k141_236650_length_1291_cov_33.7583	nan	1291
k141_236732_length_1449_cov_11.0000	0.993	1404
k141_236735_length_1614_cov_31.0000	0.927	1612
k141_236765_length_1691_cov_102.7923	0.913	1690
k141_236802_length_2349_cov_10.0036	0.953	2183
k141_237345_length_1190_cov_32.0000	0.68	1128
k141_237660_length_1180_cov_11.0000	0.98	999
k141_238171_length_1195_cov_17.0000	nan	1195
k141_238299_length_1623_cov_17.0000	0.813	1622
k141_238526_length_1341_cov_5.0000	1	814
k141_238531_length_1473_cov_7.0000	nan	1473
k141_23857_length_5908_cov_51.5499	0.96	5877
k141_238585_length_1388_cov_20.0000	0.727	1345
k141_239314_length_1523_cov_12.0000	0.933	1520
k141_239436_length_2075_cov_8.0000	0.813	1951
k141_239537_length_1694_cov_72.4308	0.9	1693
k141_239837_length_1121_cov_9.0000	1	749
k141_239938_length_1012_cov_2.0000	nan	1012
k141_240034_length_1616_cov_48.0949	0.987	1573
k141_240157_length_1177_cov_100.0000	0.813	992
k141_240307_length_2079_cov_36.0000	0.9	1988
k141_240331_length_2535_cov_64.2828	0.973	2506
k141_24034_length_2073_cov_22.5523	0.82	1847
k141_24056_length_7150_cov_71.0233	0.533	4292
k141_240653_length_1590_cov_18.5749	0.587	1587
k141_240891_length_2483_cov_82.3271	0.673	2481
k141_241008_length_1525_cov_8.0000	1	1446
k141_2412_length_1991_cov_8.0000	0.96	1682
k141_241461_length_5415_cov_94.9118	0.967	5361
k141_24159_length_3118_cov_117.2566	0.587	3116
k141_241861_length_3476_cov_26.0000	1	3474
k141_241941_length_1230_cov_18.8696	0.96	1013
k141_242029_length_2435_cov_81.4106	1	2434
k141_242073_length_11952_cov_1149.5802	0.833	11398
k141_242160_length_3283_cov_27.7110	0.98	2783
k141_242353_length_1942_cov_5.0000	0.927	1531
k141_24236_length_3116_cov_41.6871	0.907	3115
k141_242439_length_2685_cov_276.8652	0.853	2165
k141_242677_length_5828_cov_25.0000	0.907	5755
k141_2430_length_2771_cov_2036.9745	0.82	2770
k141_243174_length_2890_cov_9.0000	1	2834
k141_243293_length_1658_cov_27.0000	0.967	1527
k141_24366_length_1633_cov_12.0000	0.66	1631
k141_243784_length_1126_cov_17.0000	0.88	846
