contig_id	length	checkv_quality	completeness	completeness_method	contamination	warnings
k141_246871_length_2899_cov_124.6149	2899	Not-determined	NA	NA	0	no viral genes detected
k141_248291_length_3671_cov_15.0000	3671	Low-quality	5.28	HMM-based (lower-bound)	0	
k141_24890_length_1798_cov_24.0000	1798	Not-determined	NA	NA	0	no viral genes detected
k141_249366_length_1544_cov_10.0000	1544	Low-quality	3.2	AAI-based (medium-confidence)	0	
k141_249829_length_12651_cov_14.0000	12651	Low-quality	4.26	HMM-based (lower-bound)	0	
k141_250213_length_6860_cov_263.0481	6860	Low-quality	14.85	AAI-based (medium-confidence)	0	
k141_251177_length_1879_cov_13.0000	1879	Not-determined	NA	NA	0	no viral genes detected
k141_251391_length_2028_cov_52.0000	2028	Low-quality	4.2	HMM-based (lower-bound)	0	
k141_251497_length_5281_cov_13.0000	5281	Not-determined	NA	NA	0	no viral genes detected
k141_251769_length_9965_cov_20.0000	9965	Low-quality	3.44	HMM-based (lower-bound)	0	
k141_251792_length_3651_cov_37.0655	3651	Low-quality	6.35	AAI-based (medium-confidence)	0	
k141_253808_length_7571_cov_59.0000	7571	Low-quality	11.94	HMM-based (lower-bound)	0	
k141_256222_length_7913_cov_27.6256	7913	Low-quality	15.02	AAI-based (medium-confidence)	0	
k141_256357_length_3188_cov_80.7653	3188	Low-quality	5.31	HMM-based (lower-bound)	0	
k141_256404_length_1135_cov_8.0000	1135	Low-quality	1.63	AAI-based (high-confidence)	0	
k141_259041_length_4429_cov_57.4713	4429	Low-quality	3.26	HMM-based (lower-bound)	0	
k141_259500_length_10060_cov_230.1422	10060	Low-quality	17.69	AAI-based (medium-confidence)	0	
k141_259616_length_1296_cov_12.0000	1296	Low-quality	0.79	HMM-based (lower-bound)	0	
k141_259865_length_1261_cov_14.0000	1261	Low-quality	2.68	AAI-based (medium-confidence)	0	
k141_260869_length_2760_cov_19.9492	2760	Low-quality	7.17	AAI-based (medium-confidence)	0	
k141_261150_length_2243_cov_71.2688	2243	Low-quality	4.38	AAI-based (medium-confidence)	0	no viral genes detected
k141_261558_length_1970_cov_8.0000	1970	Low-quality	6.62	AAI-based (high-confidence)	0	
k141_26188_length_6820_cov_94.1328	6820	Not-determined	NA	NA	0	no viral genes detected
k141_261976_length_1827_cov_12.0000	1827	Low-quality	3.69	AAI-based (high-confidence)	0	no viral genes detected
k141_26248_length_2702_cov_10.0000	2702	Low-quality	6.31	AAI-based (medium-confidence)	0	
k141_262486_length_7126_cov_10.0000	7126	Low-quality	9.95	HMM-based (lower-bound)	0	
k141_263424_length_1931_cov_19.0000	1931	Low-quality	2.41	HMM-based (lower-bound)	0	
k141_263563_length_4102_cov_15.0000	4102	Low-quality	8.63	AAI-based (high-confidence)	0	
k141_264375_length_5763_cov_129.1754	5763	Low-quality	8.6	AAI-based (medium-confidence)	41.51	
k141_264390_length_6984_cov_91.9909	6984	Not-determined	NA	NA	0	no viral genes detected
k141_264645_length_1678_cov_28.0000	1678	Low-quality	3.27	HMM-based (lower-bound)	0	
k141_265206_length_3508_cov_9.0000	3508	Low-quality	8.87	AAI-based (high-confidence)	0	
k141_265417_length_3789_cov_15.0000	3789	Not-determined	NA	NA	0	no viral genes detected
k141_266771_length_3962_cov_7.0000	3962	Low-quality	10.76	AAI-based (high-confidence)	0	
k141_267390_length_11614_cov_18.0000	11614	Low-quality	10.56	HMM-based (lower-bound)	0	
k141_267478_length_1644_cov_90.9421	1644	Low-quality	3.51	AAI-based (medium-confidence)	0	no viral genes detected
k141_267826_length_2665_cov_67.6438	2665	Low-quality	4	AAI-based (medium-confidence)	0	
k141_268147_length_3024_cov_8.0000	3024	Low-quality	7.04	AAI-based (medium-confidence)	0	
k141_268547_length_2847_cov_21.0000	2847	Not-determined	NA	NA	0	no viral genes detected
k141_268549_length_2338_cov_21.0000	2338	Low-quality	3.73	HMM-based (lower-bound)	0	
k141_268669_length_10007_cov_205.4810	10007	Low-quality	24.05	AAI-based (medium-confidence)	0	
k141_268855_length_3535_cov_223.8421	3535	Low-quality	3.85	AAI-based (medium-confidence)	0	
k141_269416_length_2071_cov_9.0000	2071	Low-quality	3.92	AAI-based (high-confidence)	0	
k141_270807_length_2678_cov_17.0000	2678	Low-quality	4.56	AAI-based (medium-confidence)	0	
k141_272099_length_8359_cov_57.2513	8359	Low-quality	19.78	AAI-based (high-confidence)	0	
k141_272563_length_2586_cov_144.2552	2586	Low-quality	2.71	HMM-based (lower-bound)	0	
k141_274133_length_1174_cov_18.0000	1174	Low-quality	1.15	HMM-based (lower-bound)	0	
k141_274551_length_3313_cov_32.6671	3313	Low-quality	5.57	AAI-based (medium-confidence)	0	
k141_274851_length_3381_cov_17.8846	3381	Low-quality	7.03	AAI-based (medium-confidence)	0	no viral genes detected
k141_275648_length_13838_cov_16.0000	13838	Low-quality	5.11	HMM-based (lower-bound)	0	
k141_27582_length_4124_cov_16.0000	4124	Low-quality	4.38	HMM-based (lower-bound)	0	
k141_277302_length_2330_cov_17.0000	2330	Low-quality	5.84	AAI-based (high-confidence)	0	
k141_277357_length_2378_cov_7.0000	2378	Low-quality	5.8	AAI-based (medium-confidence)	0	
k141_278215_length_2309_cov_22.3801	2309	Low-quality	4.88	AAI-based (medium-confidence)	0	
k141_27852_length_2972_cov_15.0000	2972	Low-quality	7.12	AAI-based (high-confidence)	0	
k141_278756_length_2467_cov_29.0000	2467	Low-quality	1.66	HMM-based (lower-bound)	0	
k141_279492_length_9849_cov_102.7391	9849	Low-quality	25.33	AAI-based (medium-confidence)	0	
k141_279547_length_39342_cov_40.9946	39342	High-quality	96	AAI-based (medium-confidence)	0	
k141_28013_length_4119_cov_24.0000	4119	Low-quality	9.44	AAI-based (high-confidence)	0	
k141_280734_length_3881_cov_14.0000	3881	Low-quality	5.57	HMM-based (lower-bound)	0	
k141_280804_length_2230_cov_28.0981	2230	Low-quality	5.68	AAI-based (medium-confidence)	0	
k141_281703_length_14352_cov_118.7924	14352	Low-quality	28.59	AAI-based (medium-confidence)	0	
k141_282609_length_1008_cov_11.0000	1008	Low-quality	2.1	AAI-based (high-confidence)	0	
k141_285094_length_2301_cov_80.9792	2301	Low-quality	3.93	HMM-based (lower-bound)	0	
k141_287001_length_8026_cov_23.0000	8026	Low-quality	25.48	AAI-based (medium-confidence)	0	
k141_287757_length_25889_cov_52.6992	25889	Not-determined	NA	NA	0	no viral genes detected
k141_288702_length_3306_cov_40.9494	3306	Low-quality	9.51	AAI-based (medium-confidence)	0	low-confidence DTR
k141_289232_length_5155_cov_25.0000	5155	Not-determined	NA	NA	0	no viral genes detected
k141_289529_length_14427_cov_50.1243	14427	Low-quality	29.91	AAI-based (medium-confidence)	0	
k141_289854_length_3550_cov_19.0000	3550	Low-quality	8.45	AAI-based (high-confidence)	0	
k141_290518_length_3607_cov_42.4025	3607	Low-quality	7.93	AAI-based (medium-confidence)	0	
k141_292007_length_11837_cov_19.9878	11837	Low-quality	13.78	HMM-based (lower-bound)	0	
k141_292026_length_2179_cov_21.0000	2179	Low-quality	3.03	HMM-based (lower-bound)	0	
k141_292527_length_3455_cov_117.9285	3455	Low-quality	8.19	AAI-based (medium-confidence)	0	
k141_292653_length_2533_cov_13.3269	2533	Low-quality	3.92	AAI-based (medium-confidence)	0	
k141_293018_length_2363_cov_20.7903	2363	Low-quality	5.73	AAI-based (medium-confidence)	0	
k141_29340_length_2759_cov_7.0000	2759	Low-quality	4.37	AAI-based (high-confidence)	0	
k141_29399_length_1895_cov_26.1739	1895	Low-quality	4.14	AAI-based (medium-confidence)	0	no viral genes detected
k141_294875_length_6342_cov_18.0000	6342	Low-quality	2.56	AAI-based (medium-confidence)	0	
k141_296_length_4745_cov_12.0000	4745	Low-quality	9.09	HMM-based (lower-bound)	0	
k141_296539_length_184130_cov_25.4936_fragment_2	37810	High-quality	100	AAI-based (high-confidence)	0	
k141_296861_length_25489_cov_79.9022	25489	Low-quality	10.45	HMM-based (lower-bound)	64.23	
k141_29809_length_2318_cov_63.3192	2318	Low-quality	4.74	AAI-based (medium-confidence)	0	
k141_300069_length_4316_cov_11.0000	4316	Low-quality	9.3	AAI-based (high-confidence)	0	
k141_30020_length_1245_cov_11.0000	1245	Low-quality	1.94	AAI-based (medium-confidence)	0	
k141_301712_length_1824_cov_45.0000	1824	Low-quality	4.04	AAI-based (medium-confidence)	0	
k141_30217_length_1117_cov_23.0000	1117	Low-quality	0.91	AAI-based (medium-confidence)	0	
k141_302746_length_1541_cov_6.0000	1541	Low-quality	2.73	AAI-based (medium-confidence)	0	
k141_304271_length_5172_cov_11.0000	5172	Low-quality	6.51	HMM-based (lower-bound)	0	
k141_304440_length_1785_cov_6.0000	1785	Low-quality	5.36	AAI-based (high-confidence)	0	
k141_304919_length_19078_cov_84.8268	19078	Low-quality	1.64	AAI-based (medium-confidence)	0	no viral genes detected
k141_305024_length_8515_cov_404.0000	8515	Low-quality	8.09	AAI-based (medium-confidence)	0	no viral genes detected; low-confidence DTR
k141_306249_length_5178_cov_9.0000	5178	Low-quality	13.22	AAI-based (high-confidence)	0	
k141_307988_length_2944_cov_49.0000	2944	Low-quality	27.45	HMM-based (lower-bound)	0	
k141_310284_length_2314_cov_68.0603	2314	Low-quality	3.45	HMM-based (lower-bound)	0	
k141_310431_length_4611_cov_68.9121	4611	Low-quality	11.59	AAI-based (high-confidence)	0	
k141_310451_length_1262_cov_19.0000	1262	Low-quality	2.58	AAI-based (high-confidence)	0	
k141_310639_length_3717_cov_12.0000	3717	Low-quality	7.34	AAI-based (high-confidence)	0	no viral genes detected
k141_311397_length_3160_cov_11.0000	3160	Low-quality	6.58	AAI-based (medium-confidence)	0	
k141_311609_length_4730_cov_13.0000	4730	Low-quality	1.81	AAI-based (medium-confidence)	0	
k141_312056_length_1748_cov_13.0000	1748	Low-quality	4.04	AAI-based (medium-confidence)	0	
k141_312191_length_1855_cov_10.0000	1855	Low-quality	4.89	AAI-based (medium-confidence)	0	
k141_312596_length_6397_cov_123.0527	6397	Low-quality	15.52	AAI-based (high-confidence)	0	
k141_314490_length_2412_cov_7.0000	2412	Low-quality	4.95	AAI-based (high-confidence)	0	
k141_314693_length_2304_cov_13.0000	2304	Low-quality	1.26	AAI-based (medium-confidence)	0	
k141_315119_length_2008_cov_60.8704	2008	Not-determined	NA	NA	0	no viral genes detected
k141_315257_length_4399_cov_11.0000	4399	Low-quality	9.86	AAI-based (high-confidence)	0	
k141_316877_length_2157_cov_9.0000	2157	Low-quality	1.56	HMM-based (lower-bound)	0	
k141_316883_length_3087_cov_51.8028	3087	Low-quality	7.7	AAI-based (medium-confidence)	0	
k141_317470_length_1173_cov_19.8876	1173	Low-quality	1.94	HMM-based (lower-bound)	0	
k141_318569_length_3162_cov_18.0000	3162	Low-quality	3.35	AAI-based (medium-confidence)	0	
k141_318757_length_20099_cov_54.4369	20099	Medium-quality	50.28	AAI-based (medium-confidence)	0	
k141_31954_length_2163_cov_13.0000	2163	Not-determined	NA	NA	0	no viral genes detected
k141_320213_length_5625_cov_6.0000	5625	Low-quality	12.74	AAI-based (medium-confidence)	0	
k141_32042_length_18766_cov_12.9902	18766	Medium-quality	55.77	AAI-based (medium-confidence)	0	
k141_320488_length_1767_cov_31.0000	1767	Low-quality	3.37	AAI-based (medium-confidence)	0	
k141_321251_length_11853_cov_30.0000	11853	Low-quality	0.99	HMM-based (lower-bound)	0	
k141_321687_length_4408_cov_22.0000	4408	Low-quality	4.98	HMM-based (lower-bound)	0	
k141_321897_length_1588_cov_9.0000	1588	Low-quality	3.64	AAI-based (medium-confidence)	0	
k141_322221_length_4660_cov_15.0000	4660	Low-quality	1.58	HMM-based (lower-bound)	0	
k141_322253_length_8212_cov_23.0000	8212	Low-quality	18.51	AAI-based (medium-confidence)	0	
k141_322656_length_5474_cov_31.5907	5474	Not-determined	NA	NA	0	no viral genes detected
k141_323237_length_1231_cov_5.0000	1231	Low-quality	1.83	AAI-based (medium-confidence)	0	
k141_323573_length_1440_cov_22.0000	1440	Not-determined	NA	NA	0	no viral genes detected
k141_32385_length_2010_cov_10.0000	2010	Low-quality	4.3	AAI-based (medium-confidence)	0	
k141_325012_length_1408_cov_5.0000	1408	Low-quality	2.63	AAI-based (medium-confidence)	0	
k141_325037_length_7516_cov_26.0000	7516	Low-quality	15.67	AAI-based (medium-confidence)	0	
k141_325318_length_4377_cov_11.0000	4377	Low-quality	11.19	AAI-based (medium-confidence)	0	
k141_325579_length_1723_cov_7.0000	1723	Not-determined	NA	NA	0	no viral genes detected
k141_325752_length_2619_cov_9.0000	2619	Low-quality	4.22	AAI-based (medium-confidence)	0	
k141_327689_length_2506_cov_24.0000	2506	Low-quality	5.59	AAI-based (medium-confidence)	0	
k141_327885_length_2145_cov_15.0000	2145	Low-quality	6.36	AAI-based (medium-confidence)	0	
k141_329658_length_6379_cov_61.0592	6379	Not-determined	NA	NA	0	no viral genes detected
k141_329962_length_6271_cov_92.4591	6271	Low-quality	10.47	HMM-based (lower-bound)	0	
k141_329985_length_1678_cov_58.3474	1678	Low-quality	3.81	AAI-based (medium-confidence)	0	
k141_331814_length_2993_cov_28.0000	2993	Low-quality	6.8	AAI-based (high-confidence)	0	
k141_332662_length_2780_cov_15.0000	2780	Low-quality	0.23	HMM-based (lower-bound)	0	
k141_333117_length_20883_cov_16.0000	20883	Medium-quality	73.14	AAI-based (medium-confidence)	0	
k141_333303_length_3121_cov_9.0000	3121	Low-quality	6.5	AAI-based (high-confidence)	0	
k141_333565_length_1423_cov_4.0000	1423	Low-quality	1.79	HMM-based (lower-bound)	0	
k141_335619_length_7008_cov_11.0000	7008	Low-quality	11.38	HMM-based (lower-bound)	0	
k141_336030_length_4042_cov_9.0000	4042	Low-quality	1.98	HMM-based (lower-bound)	0	
k141_336791_length_6776_cov_101.4660	6776	Low-quality	18.56	AAI-based (medium-confidence)	0	
k141_338745_length_6082_cov_30.0000	6082	Low-quality	12.62	AAI-based (high-confidence)	0	
k141_339422_length_3942_cov_8.0000	3942	Not-determined	NA	NA	0	no viral genes detected
k141_340387_length_3004_cov_14.0000	3004	Low-quality	3.88	AAI-based (medium-confidence)	0	
k141_340609_length_2215_cov_10.0000	2215	Low-quality	4.75	AAI-based (medium-confidence)	0	
k141_341025_length_12485_cov_33.7528	12485	Not-determined	NA	NA	0	no viral genes detected
k141_341131_length_5548_cov_26.3958	5548	Not-determined	NA	NA	0	no viral genes detected
k141_341867_length_26120_cov_148.8603_fragment_1	3143	Low-quality	2.91	AAI-based (medium-confidence)	0	
k141_342293_length_3134_cov_7.0000	3134	Low-quality	1.33	HMM-based (lower-bound)	0	
k141_343193_length_545652_cov_477.4362_fragment_1	50524	High-quality	100	AAI-based (high-confidence)	9.02	
k141_343981_length_5131_cov_8.0000	5131	Low-quality	5.33	AAI-based (medium-confidence)	45.86	
k141_344527_length_2669_cov_55.4221	2669	Low-quality	3.12	HMM-based (lower-bound)	0	
k141_344943_length_7510_cov_21.0000	7510	Low-quality	18.14	AAI-based (medium-confidence)	0	
k141_345193_length_2725_cov_13.0000	2725	Low-quality	3.07	HMM-based (lower-bound)	0	
k141_345635_length_4019_cov_19.0000	4019	Low-quality	10.75	AAI-based (high-confidence)	0	
k141_345865_length_3060_cov_36.0665	3060	Low-quality	5.31	HMM-based (lower-bound)	0	
k141_345922_length_2634_cov_76.1364	2634	Not-determined	NA	NA	0	no viral genes detected
k141_345945_length_2523_cov_12.0000	2523	Low-quality	6.19	AAI-based (high-confidence)	0	
k141_346046_length_15044_cov_18.8058	15044	Not-determined	NA	NA	0	no viral genes detected
k141_346095_length_3424_cov_15.0000	3424	Low-quality	6.5	AAI-based (medium-confidence)	0	
k141_34671_length_1843_cov_68.1545	1843	Low-quality	2.79	HMM-based (lower-bound)	0	
k141_346826_length_2120_cov_52.6271	2120	Low-quality	4.49	AAI-based (medium-confidence)	0	
k141_347769_length_1573_cov_25.0000	1573	Low-quality	0.98	HMM-based (lower-bound)	0	
k141_3486_length_1095_cov_15.0000	1095	Not-determined	NA	NA	0	no viral genes detected
k141_348640_length_4065_cov_97.4529	4065	Low-quality	8.27	AAI-based (medium-confidence)	0	
k141_348933_length_2456_cov_9.0000	2456	Low-quality	3.53	HMM-based (lower-bound)	0	
k141_349167_length_2261_cov_26.0000	2261	Low-quality	4.49	AAI-based (high-confidence)	0	
k141_350151_length_2836_cov_14.0000	2836	Low-quality	6.63	AAI-based (medium-confidence)	0	no viral genes detected
k141_352943_length_8375_cov_74.0225	8375	Low-quality	17.22	AAI-based (medium-confidence)	0	
k141_353528_length_3804_cov_18.0000	3804	Low-quality	8.61	AAI-based (medium-confidence)	0	
k141_354078_length_4475_cov_17.0000	4475	Low-quality	8.23	AAI-based (medium-confidence)	0	
k141_35434_length_9210_cov_92.5965	9210	Low-quality	7.26	HMM-based (lower-bound)	34.93	
k141_354621_length_4901_cov_24.0000	4901	Low-quality	10.17	AAI-based (high-confidence)	0	
k141_355085_length_3322_cov_9.0000	3322	Low-quality	7.4	AAI-based (high-confidence)	0	
k141_355325_length_3159_cov_8.0000	3159	Medium-quality	53.82	AAI-based (high-confidence)	0	
k141_355379_length_47829_cov_120.1681	47829	High-quality	100	AAI-based (medium-confidence)	0	
k141_355918_length_37075_cov_25.3202	37075	Medium-quality	82.65	AAI-based (high-confidence)	0	
k141_356382_length_23313_cov_48.6010	23313	Low-quality	34.19	HMM-based (lower-bound)	0	
k141_357074_length_6671_cov_617.0547	6671	Low-quality	36.37	AAI-based (medium-confidence)	0	
k141_357201_length_1613_cov_24.0000	1613	Low-quality	2.35	HMM-based (lower-bound)	0	
k141_357228_length_9151_cov_17.0000	9151	Low-quality	19.87	AAI-based (medium-confidence)	0	
k141_357739_length_1266_cov_18.0000	1266	Low-quality	2.34	HMM-based (lower-bound)	0	
k141_35785_length_2625_cov_18.2258	2625	Low-quality	2.61	HMM-based (lower-bound)	0	
k141_358038_length_4985_cov_20.0000	4985	Low-quality	12.78	AAI-based (medium-confidence)	0	
k141_35886_length_13662_cov_50.1410	13662	Low-quality	40.91	HMM-based (lower-bound)	0	
k141_359089_length_1221_cov_13.0000	1221	Low-quality	3.12	AAI-based (medium-confidence)	0	no viral genes detected
k141_359270_length_2967_cov_61.4183	2967	Low-quality	1.99	HMM-based (lower-bound)	0	
k141_35998_length_2152_cov_11.0000	2152	Low-quality	4.08	AAI-based (medium-confidence)	0	
k141_360013_length_43135_cov_44.6301	43135	Medium-quality	60.66	AAI-based (high-confidence)	0	
k141_360986_length_13488_cov_15.0000	13488	Low-quality	46.6	AAI-based (medium-confidence)	0	
k141_361784_length_1202_cov_21.0000	1202	Low-quality	2.4	AAI-based (medium-confidence)	0	no viral genes detected
k141_362112_length_21530_cov_237.3777	21530	Medium-quality	50.95	AAI-based (high-confidence)	0	
k141_362271_length_5124_cov_8.0000	5124	Low-quality	15.53	AAI-based (high-confidence)	0	
k141_362918_length_2010_cov_18.9807	2010	Not-determined	NA	NA	0	no viral genes detected
k141_364647_length_5428_cov_81.8901	5428	Low-quality	9.65	HMM-based (lower-bound)	0	
k141_365549_length_7879_cov_9.0000	7879	Low-quality	3.15	HMM-based (lower-bound)	0	
k141_367242_length_43418_cov_132.0031	43418	Complete	100	DTR (high-confidence)	0	
k141_367837_length_43172_cov_173.8419	43172	Complete	100	DTR (high-confidence)	0	
k141_368385_length_50634_cov_245.0049	50634	Complete	100	DTR (high-confidence)	0	
k141_368540_length_10445_cov_255.2800	10445	Low-quality	17.51	HMM-based (lower-bound)	0	low-confidence DTR
k141_368668_length_2208_cov_40.0000	2208	Low-quality	5.48	AAI-based (high-confidence)	0	
k141_368875_length_9561_cov_38.0040	9561	Not-determined	NA	NA	0	no viral genes detected; low-confidence DTR
k141_370043_length_6737_cov_23.6828	6737	Medium-quality	75.35	HMM-based (lower-bound)	0	low-confidence DTR
k141_370555_length_7481_cov_18.0025	7481	Not-determined	NA	NA	0	no viral genes detected; low-confidence DTR
k141_371806_length_3234_cov_100.9169	3234	Not-determined	NA	NA	0	no viral genes detected
k141_371963_length_1191_cov_29.0000	1191	Low-quality	1.35	HMM-based (lower-bound)	0	
k141_372988_length_2930_cov_15.0000	2930	Low-quality	1.01	HMM-based (lower-bound)	0	
k141_37489_length_8875_cov_18.0829	8875	Low-quality	5.89	HMM-based (lower-bound)	0	
k141_375215_length_1881_cov_11.0000	1881	Low-quality	5.2	AAI-based (medium-confidence)	0	
k141_377149_length_5593_cov_78.0262	5593	Low-quality	6.76	HMM-based (lower-bound)	0	
k141_377287_length_74056_cov_13.0000_fragment_1	43631	High-quality	100	AAI-based (medium-confidence)	0	
k141_377632_length_1816_cov_25.0000	1816	Not-determined	NA	NA	0	no viral genes detected
k141_379583_length_1522_cov_9.0000	1522	Low-quality	3.41	HMM-based (lower-bound)	0	
k141_379796_length_2114_cov_38.0000	2114	Low-quality	3.68	HMM-based (lower-bound)	0	
k141_380730_length_8286_cov_23.1109	8286	Low-quality	13.7	HMM-based (lower-bound)	0	
k141_381143_length_14132_cov_42.0532	14132	Low-quality	16.58	HMM-based (lower-bound)	0	
k141_381300_length_3699_cov_18.0000	3699	Low-quality	3.96	AAI-based (medium-confidence)	0	
k141_382333_length_1003_cov_11.0000	1003	Low-quality	2.85	AAI-based (high-confidence)	0	
k141_382348_length_1518_cov_25.0000	1518	Low-quality	3.77	AAI-based (high-confidence)	0	no viral genes detected
k141_382786_length_4845_cov_11.0000	4845	Low-quality	9.02	HMM-based (lower-bound)	0	
k141_383095_length_13827_cov_51.1897	13827	Low-quality	34.21	AAI-based (medium-confidence)	0	
k141_384198_length_4914_cov_23.0000	4914	Low-quality	5.52	HMM-based (lower-bound)	0	
k141_38449_length_1161_cov_16.0000	1161	Low-quality	2.69	AAI-based (high-confidence)	0	
k141_384763_length_1718_cov_14.0000	1718	Not-determined	NA	NA	0	no viral genes detected
k141_385507_length_4827_cov_15.0000	4827	Low-quality	9.59	AAI-based (medium-confidence)	0	
k141_385524_length_5776_cov_2856.8172	5776	Low-quality	1.24	HMM-based (lower-bound)	0	low-confidence DTR
k141_385855_length_2655_cov_6.0000	2655	Not-determined	NA	NA	0	no viral genes detected
k141_386105_length_1536_cov_15.0000	1536	Low-quality	0.41	AAI-based (medium-confidence)	0	
k141_386289_length_3740_cov_19.0000	3740	Low-quality	8.65	AAI-based (medium-confidence)	0	
k141_387237_length_10567_cov_16.0000	10567	Low-quality	3.65	HMM-based (lower-bound)	0	
k141_388789_length_24672_cov_20.0005	24672	Medium-quality	64.28	AAI-based (medium-confidence)	0	
k141_391008_length_6140_cov_47.4764	6140	Low-quality	15.01	AAI-based (high-confidence)	0	
k141_391138_length_1210_cov_74.8260	1210	Low-quality	2.48	AAI-based (medium-confidence)	0	
k141_391478_length_6536_cov_15.0000	6536	Low-quality	18.74	HMM-based (lower-bound)	0	
k141_391583_length_19105_cov_60.9917	19105	Medium-quality	54.01	AAI-based (high-confidence)	0	
k141_392266_length_61023_cov_87.0317_fragment_2	11334	Low-quality	6.31	HMM-based (lower-bound)	0	
k141_393554_length_2402_cov_11.0000	2402	Low-quality	3.14	HMM-based (lower-bound)	0	
k141_394119_length_5014_cov_9.0000	5014	Low-quality	2.99	HMM-based (lower-bound)	0	
k141_395564_length_5406_cov_51.3255	5406	Low-quality	4.83	HMM-based (lower-bound)	0	
k141_396935_length_3086_cov_7.0000	3086	Low-quality	4.99	HMM-based (lower-bound)	0	
k141_3970_length_16591_cov_85.0391	16591	Low-quality	42.11	AAI-based (medium-confidence)	0	
k141_397368_length_1725_cov_63.7386	1725	Low-quality	4.24	AAI-based (medium-confidence)	0	
k141_398039_length_2659_cov_10.0000	2659	Low-quality	5.59	AAI-based (medium-confidence)	0	
k141_398839_length_18271_cov_25.9682	18271	Low-quality	46.99	AAI-based (medium-confidence)	0	
k141_399281_length_2999_cov_5.0000	2999	Low-quality	5.79	AAI-based (medium-confidence)	0	
k141_39999_length_2717_cov_11.0000	2717	Not-determined	NA	NA	0	no viral genes detected
k141_400211_length_3211_cov_9.0000	3211	Low-quality	10.64	AAI-based (high-confidence)	0	
k141_400601_length_4458_cov_26.0000	4458	Low-quality	9.87	AAI-based (high-confidence)	0	
k141_400603_length_4486_cov_8.0000	4486	Low-quality	10.14	AAI-based (high-confidence)	0	
k141_402194_length_3262_cov_36.0000	3262	Low-quality	6.66	AAI-based (high-confidence)	0	
k141_403213_length_4277_cov_17.0000	4277	Low-quality	5.69	AAI-based (medium-confidence)	0	no viral genes detected
k141_403634_length_2735_cov_16.0000	2735	Low-quality	4.48	HMM-based (lower-bound)	0	
k141_404187_length_8701_cov_12.9692	8701	Low-quality	22.12	AAI-based (medium-confidence)	0	
k141_404273_length_13284_cov_42.0000	13284	Low-quality	18.54	AAI-based (high-confidence)	0	
k141_404558_length_3183_cov_16.0000	3183	Low-quality	3.77	HMM-based (lower-bound)	0	
k141_405203_length_7968_cov_101.1669	7968	Low-quality	10.89	HMM-based (lower-bound)	0	
k141_405205_length_8338_cov_111.0223	8338	Low-quality	16.61	HMM-based (lower-bound)	0	
k141_405296_length_6126_cov_42.3838	6126	Low-quality	10.51	HMM-based (lower-bound)	0	
k141_40629_length_7058_cov_48.2802	7058	Low-quality	13.28	AAI-based (medium-confidence)	0	no viral genes detected
k141_406298_length_7595_cov_25.0000	7595	Low-quality	22.27	AAI-based (high-confidence)	0	
k141_407335_length_1332_cov_27.0000	1332	Low-quality	0.91	HMM-based (lower-bound)	0	
k141_407496_length_18728_cov_17.6383	18728	Low-quality	25.71	HMM-based (lower-bound)	0	
k141_40790_length_7047_cov_17.0000	7047	Low-quality	14.11	AAI-based (high-confidence)	38.92	
k141_42068_length_34216_cov_43077.6845	34216	Low-quality	22.26	AAI-based (high-confidence)	0	
k141_42256_length_1404_cov_28.0000	1404	Low-quality	0.34	AAI-based (medium-confidence)	0	
k141_42717_length_24801_cov_22.3265_fragment_1	9041	Low-quality	16.09	HMM-based (lower-bound)	0	
k141_42785_length_2293_cov_14.0000	2293	Low-quality	5.14	HMM-based (lower-bound)	0	
k141_43038_length_11915_cov_23.4208	11915	Low-quality	22.9	AAI-based (medium-confidence)	0	
k141_43171_length_5014_cov_15.0000	5014	Low-quality	6.79	HMM-based (lower-bound)	0	
k141_43235_length_2590_cov_13.0000	2590	Not-determined	NA	NA	0	no viral genes detected
k141_43371_length_4013_cov_64.0917	4013	Low-quality	6.9	HMM-based (lower-bound)	0	
k141_44087_length_1981_cov_7.0000	1981	Low-quality	3.26	AAI-based (medium-confidence)	0	
k141_44742_length_7898_cov_68.7503	7898	Low-quality	27.66	HMM-based (lower-bound)	0	
k141_4548_length_1891_cov_7.0000	1891	Low-quality	4.11	AAI-based (high-confidence)	0	
k141_46062_length_2085_cov_24.0000	2085	Low-quality	1.1	HMM-based (lower-bound)	0	
k141_47025_length_20314_cov_180.1444	20314	Low-quality	46.92	AAI-based (high-confidence)	0	
k141_47953_length_3437_cov_14.0000	3437	Low-quality	7.35	AAI-based (high-confidence)	0	
k141_50014_length_1947_cov_12.0000	1947	Low-quality	0.78	HMM-based (lower-bound)	0	
k141_50420_length_34541_cov_716.9009	34541	Medium-quality	51.75	HMM-based (lower-bound)	0	
k141_50495_length_1261_cov_9.0000	1261	Low-quality	3.28	AAI-based (medium-confidence)	0	
k141_50578_length_4443_cov_11.0000	4443	Low-quality	8.39	AAI-based (medium-confidence)	0	
k141_50640_length_2690_cov_32.0000	2690	Low-quality	5.42	AAI-based (high-confidence)	0	
k141_50769_length_2734_cov_12.0000	2734	Low-quality	6.87	AAI-based (high-confidence)	0	
k141_52597_length_2701_cov_6.0000	2701	Low-quality	3.79	AAI-based (medium-confidence)	0	
k141_52692_length_9402_cov_27.4478	9402	Low-quality	21.81	AAI-based (medium-confidence)	0	
